iso3,country_name,year,pathogen,antibiotic,resistance_rate
BGR,Bulgaria,2009,Escherichia coli,Third-generation cephalosporins,19.17098445
BGR,Bulgaria,2009,Klebsiella pneumoniae,Carbapenems,0.0
BGR,Bulgaria,2009,Klebsiella pneumoniae,Fluoroquinolones,48.42105263
BGR,Bulgaria,2009,Klebsiella pneumoniae,Third-generation cephalosporins,69.47368421
BGR,Bulgaria,2009,Pseudomonas aeruginosa,Carbapenems,23.52941176
BGR,Bulgaria,2009,Staphylococcus aureus,Meticillin (MRSA),15.83710407
BGR,Bulgaria,2010,Enterococcus faecium,Aminopenicillins,100.0
BGR,Bulgaria,2010,Escherichia coli,Carbapenems,0.0
BGR,Bulgaria,2010,Escherichia coli,Fluoroquinolones,33.11258278
BGR,Bulgaria,2010,Escherichia coli,Third-generation cephalosporins,24.8366013
BGR,Bulgaria,2010,Klebsiella pneumoniae,Carbapenems,0.0
BGR,Bulgaria,2010,Klebsiella pneumoniae,Fluoroquinolones,52.38095238
BGR,Bulgaria,2010,Klebsiella pneumoniae,Third-generation cephalosporins,75.59055118
BGR,Bulgaria,2010,Pseudomonas aeruginosa,Carbapenems,30.95238095
BGR,Bulgaria,2010,Staphylococcus aureus,Meticillin (MRSA),19.0
BGR,Bulgaria,2011,Enterococcus faecium,Aminopenicillins,84.21052631
BGR,Bulgaria,2011,Escherichia coli,Carbapenems,0.0
BGR,Bulgaria,2011,Escherichia coli,Fluoroquinolones,30.16759776
BGR,Bulgaria,2011,Escherichia coli,Third-generation cephalosporins,22.90502793
BGR,Bulgaria,2011,Klebsiella pneumoniae,Carbapenems,0.0
BGR,Bulgaria,2011,Klebsiella pneumoniae,Fluoroquinolones,51.23966942
BGR,Bulgaria,2011,Klebsiella pneumoniae,Third-generation cephalosporins,80.99173553
BGR,Bulgaria,2011,Pseudomonas aeruginosa,Carbapenems,29.16666666
BGR,Bulgaria,2011,Staphylococcus aureus,Meticillin (MRSA),22.42990654
BGR,Bulgaria,2012,Acinetobacter spp.,Carbapenems,60.34482758
BGR,Bulgaria,2012,Enterococcus faecium,Aminopenicillins,95.0
