iso3,year,TXx,TNx,SU,TR,WSDI,TN90p
EGY,2013,43.1908050527186,26.210547300844752,246.15401528892437,91.18149138736949,7.847385571871157,25.79344628166931
EGY,2014,42.85245890766729,26.455019289041978,236.1594953348825,81.09182296602727,13.719444706772714,25.144907420928458
EGY,2015,43.37570313221923,29.18133818609736,232.17566814007444,105.85914007108023,35.283839266026135,28.982640970624338
EGY,2016,44.452437010173725,27.72599778885271,243.95950324151235,112.97756010794596,22.109798234762913,30.703475559094024
EGY,2017,41.10882146125697,28.306532528977336,221.14061150228196,90.10352637020478,14.471014322341198,25.601812645179113
EGY,2018,41.48298391158927,26.86145248367756,222.50809721121487,90.79715082814158,25.24357753829542,35.86315249853292
ERI,2000,,30.13372153280284,349.83742054922556,199.6653264867167,,17.563793493909127
ERI,2001,45.883965972950406,29.919781008416987,358.293556319478,213.8378211872971,13.125548444692784,17.00060273496639
ERI,2002,46.40175988871654,31.141404467533953,355.4974637699246,215.53733207350743,25.302498716752797,20.668746346599
ERI,2003,46.69480954622964,31.002225012827715,359.0463989364464,215.59501894638532,20.3942189076763,19.45426919944817
ERI,2004,46.30596415352028,29.872116812955436,358.28064198251315,216.2224341916892,19.643438738582102,19.063330580569854
ERI,2005,46.35263325398479,30.52578522455529,355.7570785142987,218.9016349920849,30.983233424284137,21.634151238610198
ERI,2006,46.279239459176864,30.64092715716114,358.0763979115329,200.85299743004302,14.15178357165419,15.90482185072368
ERI,2007,45.79309586476692,30.880878009656488,356.5670245879534,214.76524220838607,12.015327588595754,18.646885087575054
ERI,2008,44.96707875958381,30.153123850978606,354.3189922892535,222.6289918522942,10.099697592370319,20.64885387879947
ERI,2009,46.063648996769466,31.117564793588585,360.8003033602228,218.54955398971217,28.651612688231136,27.96242113767644
ERI,2010,,31.928575203850173,353.26171729221323,193.90354914125152,,39.89934735448366
ERI,2011,,31.31101220145533,332.7838398827902,156.11777842445224,,17.618550151924783
ERI,2012,,29.40663949745341,,157.074302183073,,31.04240158288926
ERI,2013,,27.214908895375807,,136.91229410664232,,27.823969103014765
ERI,2014,,27.164232370747815,,104.7322654298917,,27.04835372612772
ERI,2015,,30.75098682644347,,152.54378463748535,,33.79598782768491
ERI,2016,,28.80141550051475,,157.9471431991253,,33.509176107881096
ERI,2017,,29.490219613099057,,156.14205839882894,,31.19186973264106
ERI,2018,,28.45706640322179,,146.35637852864576,,41.87133744524783
ESP,2000,34.97432327270508,20.9342098236084,178.79678344726562,22.402374267578125,0.1482122540473938,6.95855712890625
ESP,2001,36.39970397949219,20.91456413269043,202.53898620605466,17.81485939025879,0.0,9.062560081481934
ESP,2002,36.643192291259766,21.63874053955078,218.37930297851562,23.27829360961914,0.16805320978164673,9.793554306030272
ESP,2003,37.960906982421875,22.873329162597656,222.85670471191406,30.762939453125,2.0601460933685303,13.584566116333008
ESP,2004,37.37626266479492,22.383350372314457,211.38719177246094,32.85336685180664,0.6442044973373414,12.946447372436523
ESP,2005,37.321250915527344,22.35508918762207,212.55612182617188,26.896808624267578,0.0,12.04942512512207
ESP,2006,37.049102783203125,22.255224227905273,194.964599609375,31.62156867980957,0.0,13.3734130859375
ESP,2007,36.427120208740234,22.361915588378906,216.05029296875,28.16816520690918,6.424715518951416,11.728604316711428
ESP,2008,37.12984848022461,21.680038452148438,209.67861938476562,27.106929779052734,0.0,11.209851264953613
